fold,video_id,role
2,fall-19-cam0-rgb,outer_train
2,fall-20-cam0-rgb,outer_train
2,fall-21-cam0-rgb,outer_train
2,fall-22-cam0-rgb,outer_train
2,fall-24-cam0-rgb,outer_train
2,fall-26-cam0-rgb,outer_train
2,fall-27-cam0-rgb,outer_train
2,fall-28-cam0-rgb,outer_train
2,fall-30-cam0-rgb,outer_train
2,adl-03-cam0-rgb,outer_test
2,adl-13-cam0-rgb,outer_test
2,adl-19-cam0-rgb,outer_test
2,adl-21-cam0-rgb,outer_test
2,adl-23-cam0-rgb,outer_test
2,adl-24-cam0-rgb,outer_test
2,adl-31-cam0-rgb,outer_test
2,adl-37-cam0-rgb,outer_test
2,fall-07-cam0-rgb,outer_test
2,fall-10-cam0-rgb,outer_test
2,fall-17-cam0-rgb,outer_test
2,fall-23-cam0-rgb,outer_test
2,fall-25-cam0-rgb,outer_test
2,fall-29-cam0-rgb,outer_test
3,adl-01-cam0-rgb,outer_train
3,adl-02-cam0-rgb,outer_train
3,adl-03-cam0-rgb,outer_train
3,adl-04-cam0-rgb,outer_train
3,adl-05-cam0-rgb,outer_train
3,adl-07-cam0-rgb,outer_train
3,adl-08-cam0-rgb,outer_train
3,adl-10-cam0-rgb,outer_train
3,adl-11-cam0-rgb,outer_train
3,adl-12-cam0-rgb,outer_train
3,adl-13-cam0-rgb,outer_train
3,adl-14-cam0-rgb,outer_train
3,adl-15-cam0-rgb,outer_train
3,adl-17-cam0-rgb,outer_train
3,adl-18-cam0-rgb,outer_train
3,adl-19-cam0-rgb,outer_train
3,adl-20-cam0-rgb,outer_train
3,adl-21-cam0-rgb,outer_train
3,adl-22-cam0-rgb,outer_train
3,adl-23-cam0-rgb,outer_train
3,adl-24-cam0-rgb,outer_train
3,adl-25-cam0-rgb,outer_train
3,adl-26-cam0-rgb,outer_train
3,adl-27-cam0-rgb,outer_train
3,adl-29-cam0-rgb,outer_train
3,adl-30-cam0-rgb,outer_train
3,adl-31-cam0-rgb,outer_train
3,adl-33-cam0-rgb,outer_train
3,adl-35-cam0-rgb,outer_train
3,adl-37-cam0-rgb,outer_train
3,adl-38-cam0-rgb,outer_train
3,adl-40-cam0-rgb,outer_train
3,fall-01-cam0-rgb,outer_train
3,fall-02-cam0-rgb,outer_train
3,fall-04-cam0-rgb,outer_train
3,fall-05-cam0-rgb,outer_train
3,fall-06-cam0-rgb,outer_train
3,fall-07-cam0-rgb,outer_train
3,fall-08-cam0-rgb,outer_train
3,fall-09-cam0-rgb,outer_train
3,fall-10-cam0-rgb,outer_train
3,fall-11-cam0-rgb,outer_train
3,fall-16-cam0-rgb,outer_train
3,fall-17-cam0-rgb,outer_train
3,fall-18-cam0-rgb,outer_train
3,fall-19-cam0-rgb,outer_train
3,fall-20-cam0-rgb,outer_train
3,fall-21-cam0-rgb,outer_train
3,fall-22-cam0-rgb,outer_train
3,fall-23-cam0-rgb,outer_train
3,fall-24-cam0-rgb,outer_train
3,fall-25-cam0-rgb,outer_train
3,fall-26-cam0-rgb,outer_train
3,fall-27-cam0-rgb,outer_train
3,fall-29-cam0-rgb,outer_train
3,fall-30-cam0-rgb,outer_train
3,adl-06-cam0-rgb,outer_test
3,adl-09-cam0-rgb,outer_test
3,adl-16-cam0-rgb,outer_test
3,adl-28-cam0-rgb,outer_test
3,adl-32-cam0-rgb,outer_test
3,adl-34-cam0-rgb,outer_test
3,adl-36-cam0-rgb,outer_test
3,adl-39-cam0-rgb,outer_test
3,fall-03-cam0-rgb,outer_test
3,fall-12-cam0-rgb,outer_test
3,fall-13-cam0-rgb,outer_test
3,fall-14-cam0-rgb,outer_test
3,fall-15-cam0-rgb,outer_test
3,fall-28-cam0-rgb,outer_test
4,adl-02-cam0-rgb,outer_train
4,adl-03-cam0-rgb,outer_train
4,adl-04-cam0-rgb,outer_train
4,adl-06-cam0-rgb,outer_train
4,adl-07-cam0-rgb,outer_train
4,adl-09-cam0-rgb,outer_train
4,adl-10-cam0-rgb,outer_train
4,adl-12-cam0-rgb,outer_train
4,adl-13-cam0-rgb,outer_train
4,adl-14-cam0-rgb,outer_train
4,adl-15-cam0-rgb,outer_train
4,adl-16-cam0-rgb,outer_train
4,adl-17-cam0-rgb,outer_train
4,adl-19-cam0-rgb,outer_train
4,adl-21-cam0-rgb,outer_train
4,adl-22-cam0-rgb,outer_train
4,adl-23-cam0-rgb,outer_train
4,adl-24-cam0-rgb,outer_train
4,adl-25-cam0-rgb,outer_train
4,adl-27-cam0-rgb,outer_train
4,adl-28-cam0-rgb,outer_train
4,adl-29-cam0-rgb,outer_train
4,adl-30-cam0-rgb,outer_train
4,adl-31-cam0-rgb,outer_train
4,adl-32-cam0-rgb,outer_train
4,adl-33-cam0-rgb,outer_train
4,adl-34-cam0-rgb,outer_train
4,adl-35-cam0-rgb,outer_train
4,adl-36-cam0-rgb,outer_train
4,adl-37-cam0-rgb,outer_train
4,adl-38-cam0-rgb,outer_train
4,adl-39-cam0-rgb,outer_train
4,fall-02-cam0-rgb,outer_train
4,fall-03-cam0-rgb,outer_train
4,fall-04-cam0-rgb,outer_train
4,fall-05-cam0-rgb,outer_train
4,fall-07-cam0-rgb,outer_train
4,fall-08-cam0-rgb,outer_train
4,fall-09-cam0-rgb,outer_train
4,fall-10-cam0-rgb,outer_train
4,fall-11-cam0-rgb,outer_train
4,fall-12-cam0-rgb,outer_train
4,fall-13-cam0-rgb,outer_train
4,fall-14-cam0-rgb,outer_train
4,fall-15-cam0-rgb,outer_train
4,fall-16-cam0-rgb,outer_train
4,fall-17-cam0-rgb,outer_train
4,fall-19-cam0-rgb,outer_train
4,fall-20-cam0-rgb,outer_train
4,fall-21-cam0-rgb,outer_train
4,fall-22-cam0-rgb,outer_train
4,fall-23-cam0-rgb,outer_train
4,fall-25-cam0-rgb,outer_train
4,fall-26-cam0-rgb,outer_train
4,fall-28-cam0-rgb,outer_train
4,fall-29-cam0-rgb,outer_train
4,adl-01-cam0-rgb,outer_test
4,adl-05-cam0-rgb,outer_test
4,adl-08-cam0-rgb,outer_test
4,adl-11-cam0-rgb,outer_test
4,adl-18-cam0-rgb,outer_test
4,adl-20-cam0-rgb,outer_test
4,adl-26-cam0-rgb,outer_test
4,adl-40-cam0-rgb,outer_test
4,fall-01-cam0-rgb,outer_test
4,fall-06-cam0-rgb,outer_test
4,fall-18-cam0-rgb,outer_test
4,fall-24-cam0-rgb,outer_test
4,fall-27-cam0-rgb,outer_test
4,fall-30-cam0-rgb,outer_test
5,adl-01-cam0-rgb,outer_train
5,adl-02-cam0-rgb,outer_train
5,adl-03-cam0-rgb,outer_train
5,adl-05-cam0-rgb,outer_train
5,adl-06-cam0-rgb,outer_train
5,adl-08-cam0-rgb,outer_train
5,adl-09-cam0-rgb,outer_train
5,adl-11-cam0-rgb,outer_train
5,adl-12-cam0-rgb,outer_train
5,adl-13-cam0-rgb,outer_train
5,adl-14-cam0-rgb,outer_train
5,adl-16-cam0-rgb,outer_train
5,adl-18-cam0-rgb,outer_train
5,adl-19-cam0-rgb,outer_train
5,adl-20-cam0-rgb,outer_train
5,adl-21-cam0-rgb,outer_train
5,adl-22-cam0-rgb,outer_train
5,adl-23-cam0-rgb,outer_train
5,adl-24-cam0-rgb,outer_train
5,adl-25-cam0-rgb,outer_train
5,adl-26-cam0-rgb,outer_train
5,adl-28-cam0-rgb,outer_train
5,adl-29-cam0-rgb,outer_train
5,adl-30-cam0-rgb,outer_train
5,adl-31-cam0-rgb,outer_train
5,adl-32-cam0-rgb,outer_train
5,adl-34-cam0-rgb,outer_train
5,adl-36-cam0-rgb,outer_train
5,adl-37-cam0-rgb,outer_train
5,adl-38-cam0-rgb,outer_train
5,adl-39-cam0-rgb,outer_train
5,adl-40-cam0-rgb,outer_train
5,fall-01-cam0-rgb,outer_train
5,fall-02-cam0-rgb,outer_train
5,fall-03-cam0-rgb,outer_train
5,fall-06-cam0-rgb,outer_train
5,fall-07-cam0-rgb,outer_train
5,fall-09-cam0-rgb,outer_train
5,fall-10-cam0-rgb,outer_train
5,fall-12-cam0-rgb,outer_train
5,fall-13-cam0-rgb,outer_train
5,fall-14-cam0-rgb,outer_train
5,fall-15-cam0-rgb,outer_train
5,fall-16-cam0-rgb,outer_train
5,fall-17-cam0-rgb,outer_train
5,fall-18-cam0-rgb,outer_train
5,fall-19-cam0-rgb,outer_train
5,fall-20-cam0-rgb,outer_train
5,fall-21-cam0-rgb,outer_train
5,fall-23-cam0-rgb,outer_train
5,fall-24-cam0-rgb,outer_train
5,fall-25-cam0-rgb,outer_train
5,fall-27-cam0-rgb,outer_train
5,fall-28-cam0-rgb,outer_train
5,fall-29-cam0-rgb,outer_train
5,fall-30-cam0-rgb,outer_train
5,adl-04-cam0-rgb,outer_test
5,adl-07-cam0-rgb,outer_test
5,adl-10-cam0-rgb,outer_test
5,adl-15-cam0-rgb,outer_test
5,adl-17-cam0-rgb,outer_test
5,adl-27-cam0-rgb,outer_test
5,adl-33-cam0-rgb,outer_test
5,adl-35-cam0-rgb,outer_test
5,fall-04-cam0-rgb,outer_test
5,fall-05-cam0-rgb,outer_test
5,fall-08-cam0-rgb,outer_test
5,fall-11-cam0-rgb,outer_test
5,fall-22-cam0-rgb,outer_test
5,fall-26-cam0-rgb,outer_test
